а̀-ля́	а̀-л'а́
ба́нщик	ба́н'ш':ик
ба́ня	ба́н'и
ба́р	ба́р
ба́рд	ба́рт
ба́рда	ба́рда
ба́рий	ба́р'иj
ба́рин	ба́р'ин
ба́рк	ба́рк
ба́рка	ба́рка
ба́рмен	ба́рмын
ба́ррель	ба́ррыл'
ба́рс	ба́рс
ба́рский	ба́рск'иj
ба́ру	ба́ру
ба́рхат	ба́рхат
ба́рхатный	ба́рхатныj
ба́рхатов	ба́рхатаф
ба́рышня	ба́рышн'и
ба́с	ба́с
ба́сня	ба́с'н'и
ба́ста	ба́ста
ба́тенька	ба́т'ин'ка
ба́тька	ба́т'ка
ба́тюшка	ба́т'ушка
ба́тя	ба́т'и
ба́х	ба́х
ба́ц	ба́ц
ба́ш	ба́ш
ба́шенный	ба́шыныj
ба́шня	ба́шн'и
ба́ян	ба́ин
баба́х	баба́х
бабу́ля	бабу́л'и
бава́рский	бава́рск'иj
бага́ж	бага́ш
бага́жник	бага́жн'ик
баге́т	баг'э́т
багро́вый	багро́выj
бадминто́н	бадм'инто́н
база́льт	база́л'т
база́р	база́р
бази́рование	баз'и́раван'ии
бази́роваться	баз'и́раваца
базили́к	баз'ил'и́к
базили́ка	баз'ил'и́ка
базу́ка	базу́ка
байка́льский	баjка́л'ск'иj
бакала́вр	бакала́вр
бакла́н	бакла́н
бакла́нов	бакла́наф
баклажа́н	баклажа́н
бакте́рия	бакт'э́р'ии
бактериа́льный	бакт'ир'иа́л'ныj
бакши́ш	бакшы́ш
бала́нс	бала́нс
бала́нсный	бала́нсныj
балага́н	балага́н
балагу́р	балагу́р
балала́йка	балала́jка
баланси́р	балан'с'и́р
баланси́рование	балан'с'и́раван'ии
баланси́ровать	балан'с'и́рават'
балансиро́вка	балан'с'иро́фка
балбе́с	балб'э́с
балда́	балда́
бале́т	бал'э́т
балери́на	бал'ир'и́на
балка́нский	балка́нск'иj
балко́н	балко́н
балла́да	бала́да
балла́ст	бала́ст
балли́стика	бал'и́с'т'ика
баллисти́ческий	бал'ис'т'и́ч'иск'иj
балло́н	бало́н
балло́нчик	бало́н'ч'ик
баллоти́роваться	балат'и́раваца
балова́ть	балава́т'
балова́ться	балава́ца
баловство́	балафство́
бальза́м	бал'за́м
бальзами́ческий	бал'зам'и́ч'иск'иj
бамбу́к	бамбу́к
бамбу́ковый	бамбу́кавыj
бана́льно	бана́л'на
бана́льность	бана́л'нас'т'
бана́льный	бана́л'ныj
бана́н	бана́н
бана́новый	бана́навыj
банда́ж	банда́ш
бандеро́ль	бандыро́л'
бандеро́лька	бандыро́л'ка
банди́т	бан'д'и́т
банди́тский	бан'д'и́цк'иj
бандити́зм	бан'д'ит'и́зм
банке́т	банк'э́т
банки́р	банк'и́р
банки́рский	банк'и́рск'иj
банкно́т	банкно́т
банкро́т	банкро́т
банкро́титься	банкро́т'ица
банкро́тство	банкро́цтва
баоба́б	бааба́п
бара́к	бара́к
бара́н	бара́н
бара́ний	бара́н'иj
бара́нина	бара́н'ина
бара́нов	бара́наф
бара́хтаться	бара́хтаца
бара́шек	бара́шык
бараба́н	бараба́н
бараба́нный	бараба́нныj
бараба́нщик	бараба́н'ш':ик
барахло́	барахло́
барахо́лка	барахо́лка
барбари́с	барбар'и́с
баргузи́н	баргуз'и́н
барда́	барда́
барелье́ф	бар'ил'jэ́ф
баржа́	баржа́
барито́н	бар'ито́н
баро́кко	баро́ка
баро́метр	баро́м'итр
баро́н	баро́н
барометри́ческий	барам'итр'и́ч'иск'иj
барье́р	бар'jэ́р
барье́рный	бар'jэ́рныj
