а̀-ля́	а̀-л'а́
умиротворе́ние	ум'иратвар'э́н'ии
умне́ть	умн'э́т'
умно́	умно́
умно́жить	умно́жыт'
умножа́ть	умнажа́т'
умноже́ние	умнажэ́н'ии
умозри́тельно	умазр'и́т'ил'на
умозри́тельный	умазр'и́т'ил'ныj
умолча́ть	умалч'а́т'
умоля́ть	умал'а́т'
умори́тельно	умар'и́т'ил'на
умори́тельный	умар'и́т'ил'ныj
умудри́ться	умудр'и́ца
умы́ться	умы́ца
умы́шленно	умы́шл'ина
умы́шленный	умы́шл'иныj
умыва́льник	умыва́л'н'ик
умыва́ться	умыва́ца
унасле́довать	унасл'э́дават'
унести́	ун'ис'т'и́
уни́зить	ун'и́з'ит'
универма́г	ун'ив'ирма́к
универса́л	ун'ив'ирса́л
универса́льно	ун'ив'ирса́л'на
универса́льность	ун'ив'ирса́л'нас'т'
универса́льный	ун'ив'ирса́л'ныj
универсиа́да	ун'ив'ирс'иа́да
университе́т	ун'ив'ирс'ит'э́т
университе́тский	ун'ив'ирс'ит'э́цк'иj
унижа́ть	ун'ижа́т'
унижа́ться	ун'ижа́ца
униже́ние	ун'ижэ́н'ии
унизи́тельно	ун'из'и́т'ил'на
уника́льно	ун'ика́л'на
уника́льность	ун'ика́л'нас'т'
уника́льный	ун'ика́л'ныj
унисо́н	ун'исо́н
унита́з	ун'ита́с
унифика́ция	ун'иф'ика́цыи
унифици́ровать	ун'иф'ицы́рават'
унифо́рма	ун'ифо́рма
уничто́жить	ун'ич'то́жыт'
уничтожа́ть	ун'ич'тажа́т'
уничтожа́ться	ун'ич'тажа́ца
уничтоже́ние	ун'ич'тажэ́н'ии
уноси́ть	унас'и́т'
уны́ло	уны́ла
уны́лый	уны́лыj
уны́ние	уны́н'ии
уныва́ть	уныва́т'
уня́ть	ун'а́т'
упа́вший	упа́фшыj
упа́док	упа́дак
упа́сть	упа́с'т'
упако́вка	упако́фка
упако́вочный	упако́вач'ныj
упако́вщик	упако́фш':ик
упако́вывать	упако́выват'
упакова́ть	упакава́т'
упере́ться	уп'ир'э́ца
упи́танный	уп'и́таныj
упира́ться	уп'ира́ца
упла́та	упла́та
упла́чивать	упла́ч'иват'
уплати́ть	уплат'и́т'
уплотне́ние	уплат'н'э́н'ии
уплотни́тель	уплат'н'и́т'ил'
уплотни́ть	уплат'н'и́т'
уплотня́ть	уплат'н'а́т'
уплы́ть	уплы́т'
уплыва́ть	уплыва́т'
упо́мнить	упо́мн'ит'
упо́р	упо́р
упо́рно	упо́рна
упо́рный	упо́рныj
упо́рство	упо́рства
упо́рствовать	упо́рствават'
упова́ть	упава́т'
уподо́бить	упадо́б'ит'
уподо́биться	упадо́б'ица
уподобля́ться	упадабл'а́ца
упое́ние	упаjэ́н'ии
упои́тельно	упаи́т'ил'на
уполномо́ченный	упалнамо́ч'иныj
упомина́ние	упам'ина́н'ии
упомина́ть	упам'ина́т'
упомяну́ть	упам'ину́т'
упоря́дочение	упар'а́дач'ин'ии
упоря́доченность	упар'а́дач'инас'т'
упоря́дочивать	упар'а́дач'иват'
упоря́дочить	упар'а́дач'ит'
употреби́ть	упатр'иб'и́т'
употребле́ние	упатр'ибл'э́н'ии
употребля́ть	упатр'ибл'а́т'
употребля́ться	упатр'ибл'а́ца
упра̀вде́лами	упра̀вд'э́лам'и
упра̀вдела́ми	упра̀вд'ила́м'и
упра́ва	упра́ва
упра́виться	упра́в'ица
упра́шивать	упра́шыват'
управле́нец	управл'э́н'иц
управле́ние	управл'э́н'ии
управле́нческий	управл'э́н'ч'иск'иj
управля́емость	управл'а́имас'т'
управля́емый термоя́дерный си́нтез	управл'а́имыj т'ирмаjа́д'ирныj с'и́нтыс
управля́ть	управл'а́т'
управля́ться	управл'а́ца
упражне́ние	упражн'э́н'ии
упражня́ться	упражн'а́ца
упраздне́ние	упраз'н'э́н'ии
упраздни́ть	упраз'н'и́т'
упрежда́ющий	упр'ижда́jуш':иj
упрежде́ние	упр'ижд'э́н'ии
упрека́ть	упр'ика́т'
упрекну́ть	упр'икну́т'
упро́чение	упро́ч'ин'ии
упро́чить	упро́ч'ит'
упрости́ть	упрас'т'и́т'
упроща́ть	упраш':а́т'
упроще́ние	упраш':э́н'ии
упрощё́нно	упраш':о́нна
упрощё́нный	упраш':о́нныj
упру́гий	упру́г'иj
упру́го	упру́га
упру́гость	упру́гас'т'
упря́жка	упр'а́шка
упря́мо	упр'а́ма
упря́мство	упр'а́мства
упря́мый	упр'а́мыj
упря́тать	упр'а́тат'
упрё́к	упр'о́к
упуска́ть	упуска́т'
упусти́ть	упус'т'и́т'
упуще́ние	упуш':э́н'ии
ура́	ура́
ура́льский	ура́л'ск'иj
ура́н	ура́н
уравне́ние	уравн'э́н'ии
уравни́тель	уравн'и́т'ил'
уравнове́сить	уравнав'э́с'ит'
уравнове́шивать	уравнав'э́шыват'
уравня́ть	уравн'а́т'
урага́н	урага́н
урага́нный	урага́нныj
урбани́ст	урбан'и́ст
урбаниза́ция	урбан'иза́цыи
урбанисти́ческий	урбан'ис'т'и́ч'иск'иj
урва́ть	урва́т'
уре́занный	ур'э́заныj
уре́зать	ур'э́зат'
урегули́рование	ур'игул'и́раван'ии
урегули́ровать	ур'игул'и́рават'
уреза́ть	ур'иза́т'
уро́д	уро́т
уро́дец	уро́д'иц
уро́дливый	уро́дл'ивыj
уро́довать	уро́дават'
уро́дство	уро́цтва
уро́к	уро́к
уро́н	уро́н
уро́чище	уро́ч'иш':и
урожа́й	уража́j
урожа́йность	уража́jнас'т'
уроже́нец	уражэ́н'иц
уроже́нка	уражэ́нка
урони́ть	уран'и́т'
уругва́йский	уругва́jск'иj
уры́вками	уры́фкам'и
уса́дка	уса́тка
уса́дьба	уса́д'ба
уса́тый	уса́тыj
уса́ч	уса́ч'
усади́ть	усад'и́т'
усва́ивать	усва́иват'
усво́ить	усво́ит'
усвое́ние	усваjэ́н'ии
усе́рдие	ус'э́рд'ии
усе́рдно	ус'э́рдна
усе́рдный	ус'э́рдныj
усе́сться	ус'э́сца
уси́дчивость	ус'и́т'ч'ивас'т'
уси́ленно	ус'и́л'ина
уси́ленный	ус'и́л'иныj
уси́ливать	ус'и́л'иват'
уси́ливаться	ус'и́л'иваца
уси́лие	ус'и́л'ии
уси́лить	ус'и́л'ит'
уси́литься	ус'и́л'ица
усиде́ть	ус'ид'э́т'
усиле́ние	ус'ил'э́н'ии
усили́тель	ус'ил'и́т'ил'
уско́ренно	уско́р'ина
уско́ренный	уско́р'иныj
уско́рить	уско́р'ит'
уско́риться	уско́р'ица
ускольза́ть	ускал'за́т'
ускользну́ть	ускал'зну́т'
ускоре́ние	ускар'э́н'ии
ускори́тель	ускар'и́т'ил'
ускоря́ть	ускар'а́т'
ускоря́ться	ускар'а́ца
уследи́ть	усл'ид'и́т'
усло́вие	усло́в'ии
усло́вно	усло́вна
усло́вность	усло́внас'т'
усло́вный	усло́вныj
усложне́ние	услажн'э́н'ии
усложни́ть	услажн'и́т'
усложня́ть	услажн'а́т'
усложня́ться	услажн'а́ца
услу́га	услу́га
услуже́ние	услужэ́н'ии
услы́шать	услы́шат'
усме́шка	усм'э́шка
усмири́ть	усм'ир'и́т'
усмиря́ть	усм'ир'а́т'
усмотре́ние	усматр'э́н'ии
усмотре́ть	усматр'э́т'
усну́ть	усну́т'
усо́в	усо́ф
усоверше́нствование	усав'иршэ́нстваван'ии
усоверше́нствовать	усав'иршэ́нствават'
усомни́ться	усамн'и́ца
успе́нский	усп'э́нск'иj
успе́ть	усп'э́т'
успе́х	усп'э́х
успе́шно	усп'э́шна
успе́шность	усп'э́шнас'т'
успе́шный	усп'э́шныj
успева́емость	усп'ива́имас'т'
успева́ть	усп'ива́т'
успока́ивать	успака́иват'
успока́иваться	успака́иваца
успока́ивающе	успака́иваjуш':и
успоко́ить	успако́ит'
успоко́иться	успако́ица
успокое́ние	успакаjэ́н'ии
усредни́ть	уср'ид'н'и́т'
уста́	уста́
уста́вный	уста́вныj
уста́ло	уста́ла
уста́лость	уста́лас'т'
уста́лый	уста́лыj
уста́ть	уста́т'
устава́ть	устава́т'
устана́вливать	устана́вл'иват'
устана́вливаться	устана́вл'иваца
устано́вка	устано́фка
устано́вленный	устано́вл'иныj
устано́вочный	устано́вач'ныj
устано́вщик	устано́фш':ик
установи́ть	устанав'и́т'
установи́ться	устанав'и́ца
установле́ние	устанавл'э́н'ии
устаре́вший	устар'э́фшыj
устаре́ть	устар'э́т'
устарева́ть	устар'ива́т'
усто́йчивость	усто́jч'ивас'т'
усто́йчивый	усто́jч'ивыj
устоя́ть	устаjа́т'
устра́ивать	устра́иват'
устра́иваться	устра́иваца
устране́ние	устран'э́н'ии
устрани́ть	устран'и́т'
устраня́ть	устран'а́т'
устраше́ние	устрашэ́н'ии
устраши́ть	устрашы́т'
устреми́ться	устр'им'и́ца
устро́енный	устро́иныj
устро́ить	устро́ит'
устро́иться	устро́ица
устро́йство	устро́jства
усту́п	усту́п
усту́пка	усту́пка
уступа́ть	уступа́т'
уступи́ть	уступ'и́т'
усугу́бить	усугу́б'ит'
усугуби́ть	усугуб'и́т'
усугубля́ть	усугубл'а́т'
усугубля́ться	усугубл'а́ца
усынови́ть	усынав'и́т'
усыновле́ние	усынавл'э́н'ии
усыновля́ть	усынавл'а́т'
усыпа́льница	усыпа́л'н'ица
усыпи́ть	усып'и́т'
усыпля́ть	усыпл'а́т'
ута́ивать	ута́иват'
утаи́ть	утаи́т'
утащи́ть	уташ':и́т'
утверди́тельно	утв'ирд'и́т'ил'на
утверди́тельный	утв'ирд'и́т'ил'ныj
утверди́ть	утв'ирд'и́т'
утверди́ться	утв'ирд'и́ца
утвержда́ть	утв'иржда́т'
утвержда́ться	утв'иржда́ца
утвержде́ние	утв'иржд'э́н'ии
уте́ря	ут'э́р'и
уте́чка	ут'э́ч'ка
уте́чь	ут'э́ч'
уте́шить	ут'э́шыт'
уте́шиться	ут'э́шыца
утека́ть	ут'ика́т'
утепле́ние	ут'ипл'э́н'ии
утепли́тель	ут'ипл'и́т'ил'
утепля́ть	ут'ипл'а́т'
утере́ть	ут'ир'э́т'
утеша́ть	ут'иша́т'
утеше́ние	ут'ишэ́н'ии
утеши́тельный	ут'ишы́т'ил'ныj
ути́ль	ут'и́л'
ути́ный тест	ут'и́ныj тыст
утилиза́ция	ут'ил'иза́цыи
утилизацио́нный	ут'ил'изацыо́нныj
утилизи́ровать	ут'ил'из'и́рават'
утилита́рный	ут'ил'ита́рныj
утиха́ть	ут'иха́т'
утихоми́рить	ут'ихам'и́р'ит'
утка́	утка́
уткну́ться	уткну́ца
утконо́с	уткано́с
уто́пия	уто́п'ии
утоли́ть	утал'и́т'
утолще́ние	уталш':э́н'ии
утоми́тельно	утам'и́т'ил'на
утоми́тельный	утам'и́т'ил'ныj
утоми́ть	утам'и́т'
утомле́ние	утамл'э́н'ии
утомля́емость	утамл'а́имас'т'
утомля́ть	утамл'а́т'
утону́ть	утану́т'
утопи́ть	утап'и́т'
утопи́ться	утап'и́ца
утопи́ческий	утап'и́ч'иск'иj
уточне́ние	утач'н'э́н'ии
уточни́ть	утач'н'и́т'
уточня́ть	утач'н'а́т'
уточня́ться	утач'н'а́ца
утра́та	утра́та
утра́тить	утра́т'ит'
утра́чивать	утра́ч'иват'
утрамбова́ть	утрамбава́т'
утри́ровать	утр'и́рават'
утро́ить	утро́ит'
утружда́ть	утружда́т'
утрясти́	утр'ис'т'и́
утю́г	ут'у́к
утяжеле́ние	ут'ижыл'э́н'ии
утяну́ть	ут'ину́т'
уха́живать	уха́жыват'
ухвати́ть	ухват'и́т'
ухвати́ться	ухват'и́ца
ухмы́лка	ухмы́лка
ухо́д	ухо́т
уходи́ть	ухад'и́т'
уху́дшить	уху́тшыт'
уху́дшиться	уху́тшыца
ухудша́ть	ухутша́т'
ухудша́ться	ухутша́ца
ухудше́ние	ухутшэ́н'ии
уцеле́ть	уцыл'э́т'
уцепи́ться	уцып'и́ца
уча́ствовать	уч'а́ствават'
уча́стие	уч'а́с'т'ии
уча́стливо	уч'а́сл'ива
уча́стник	уч'а́с'н'ик
уча́стница	уч'а́с'н'ица
уча́сток	уч'а́стак
участко́вый	уч'истко́выj
учаще́ние	уч'иш':э́н'ии
уче́бник	уч'э́бн'ик
уче́бный	уч'э́бныj
уче́ние	уч'э́н'ии
уче́сть	уч'э́с'т'
учени́к	уч'ин'и́к
учени́ца	уч'ин'и́ца
учи́лище	уч'и́л'иш':и
учи́тель	уч'и́т'ил'
учи́тельница	уч'и́т'ил'н'ица
учи́тывать	уч'и́тыват'
учи́ть	уч'и́т'
учи́ться	уч'и́ца
учини́ть	уч'ин'и́т'
учреди́тель	уч'р'ид'и́т'ил'
учреди́тельный	уч'р'ид'и́т'ил'ныj
учреди́ть	уч'р'ид'и́т'
учрежда́ть	уч'р'ижда́т'
учрежде́ние	уч'р'ижд'э́н'ии
учу́ять	уч'у́ит'
учё́ба	уч'о́ба
учё́ный	уч'о́ныj
учё́т	уч'о́т
уша́стый	уша́стыj
ушко́	ушко́
ушно́й	ушно́j
уще́рб	уш':э́рп
уще́рбность	уш':э́рбнас'т'
уще́рбный	уш':э́рбныj
ущемле́ние	уш':имл'э́н'ии
ущемля́ть	уш':имл'а́т'
ую́т	уjу́т
ую́тный	уjу́тныj
уязви́мость	уизв'и́мас'т'
уязви́мый	уизв'и́мыj
уязви́ть	уизв'и́т'
уясни́ть	уис'н'и́т'
фа́	фа́
фа́бра	фа́бра
фа́брика	фа́бр'ика
фа́була	фа́була
фа́за	фа́за
фа́зовый	фа́завыj
фа́кел	фа́к'ил
фа́кт	фа́кт
фа́ктор	фа́ктар
фа́л	фа́л
фа́ллос	фа́ллас
фа́льшь	фа́л'ш
фа́нтик	фа́н'т'ик
фа́нтом	фа́нтам
фа́ра	фа́ра
фа́рс	фа́рс
фа́ртук	фа́ртук
фа́ру	фа́ру
фа́рш	фа́рш
фа́с	фа́с
фа́уна	фа́уна
фабри́чный	фабр'и́ч'ныj
фабрика́ция	фабр'ика́цыи
фабрикова́ть	фабр'икава́т'
фавори́т	фавар'и́т
факти́ческий	факт'и́ч'иск'иj
факту́ра	факту́ра
факту́рный	факту́рныj
факульте́т	факул'т'э́т
фалансте́р	фаланстэ́р
фальсифика́т	фал'с'иф'ика́т
фальсифика́ция	фал'с'иф'ика́цыи
фальсифици́ровать	фал'с'иф'ицы́рават'
фальста́рт	фал'ста́рт
фальши́вка	фал'шы́фка
фальши́вый	фал'шы́выj
фами́лия	фам'и́л'ии
фана́тик	фана́т'ик
фанати́зм	фанат'и́зм
фанати́чно	фанат'и́ч'на
фане́ра	фан'э́ра
фане́рный	фан'э́рныj
фанта́зия	фанта́з'ии
фанта́ст	фанта́ст
фанта́стика	фанта́с'т'ика
фантази́ровать	фантаз'и́рават'
фантасмаго́рия	фантасмаго́р'ии
фантасти́ческий	фантас'т'и́ч'иск'иj
фантасти́чно	фантас'т'и́ч'на
фантасти́чность	фантас'т'и́ч'нас'т'
фанто́м	фанто́м
фарао́н	фарао́н
фарва́тер	фарва́тыр
фармако́лог	фармако́лак
фармаколо́гия	фармакало́г'ии
фармакологи́ческий	фармакалаг'и́ч'иск'иj
фармаце́вт	фармацэ́фт
фармаце́втика	фармацэ́фт'ика
фармацевти́ческий	фармацыфт'и́ч'иск'иj
фарфо́р	фарфо́р
фарфо́ровый	фарфо́равыj
фарширо́ванный	фаршыро́ваныj
фаса́д	фаса́т
фасо́ль	фасо́л'
фасо́н	фасо́н
фата́льно	фата́л'на
фата́льный	фата́л'ныj
фаши́зм	фашы́зм
фаши́ст	фашы́ст
фаши́стский	фашы́сск'иj
фаэто́н	фаыто́н
фе́льдшер	ф'э́л'тшыр
фе́н	ф'э́н
фе́никс	ф'э́н'икс
фе́рзь	ф'э́рс'
фе́рма	ф'э́рма
фе́рмер	ф'э́рм'ир
фе́рмерский	ф'э́рм'ирск'иj
фе́рмерство	ф'э́рм'ирства
фе́рт	ф'э́рт
фе́с	ф'э́с
фе́я	ф'э́и
февра́ль	ф'ивра́л'
февра́льский	ф'ивра́л'ск'иj
федера́льный	ф'ид'ира́л'ныj
федера́ция	ф'ид'ира́цыи
федерали́зм	ф'ид'ирал'и́зм
федерализа́ция	ф'ид'ирал'иза́цыи
федерати́вный	ф'ид'ират'и́вныj
фее́рия	ф'иjэ́р'ии
феери́ческий	ф'иир'и́ч'иск'иj
фейерве́рк	ф'иирв'э́рк
фемини́зм	ф'им'ин'и́зм
фемини́стка	ф'им'ин'и́стка
фемини́стский	ф'им'ин'и́сск'иj
фено́мен	ф'ино́м'ин
феноме́н	ф'инам'э́н
феномена́льно	ф'инам'ина́л'на
феномена́льный	ф'инам'ина́л'ныj
феноти́п	ф'инат'и́п
феода́льный	ф'иада́л'ныj
феодали́зм	ф'иадал'и́зм
ферме́нт	ф'ирм'э́нт
ферри́т	ф'ир'и́т
ферти́льность	ф'ирт'и́л'нас'т'
фестива́ль	ф'ис'т'ива́л'
фети́ш	ф'ит'и́ш
фетиши́зм	ф'ит'ишы́зм
фехтова́льщик	ф'ихтава́л'ш':ик
фехтова́ние	ф'ихтава́н'ии
фешене́бельный	ф'ишын'э́б'ил'ныj
фи́	ф'и́
фи́га	ф'и́га
фи́говый	ф'и́гавыj
фи́зик	ф'и́з'ик
фи́зика	ф'и́з'ика
фи́кс	ф'и́кс
фи́кус	ф'и́кус
фи́кция	ф'и́кцыи
фи́л	ф'и́л
фи́ле	ф'и́л'и
фи́лин	ф'и́л'ин
фи́льм	ф'и́л'м
фи́льтр	ф'и́л'тр
фи́ля	ф'и́л'и
фи́ниш	ф'и́н'иш
фи́нка	ф'и́нка
фи́нн	ф'и́н
фи́нский	ф'и́нск'иj
фи́нт	ф'и́нт
фи́рма	ф'и́рма
фи́рменный	ф'и́рм'иныj
фи́фа	ф'и́фа
фи́шка	ф'и́шка
фиа́ско	ф'иа́ска
фига́	ф'ига́
фигаро́	ф'игаро́
фиго́вый	ф'иго́выj
фигу́ра	ф'игу́ра
фигу́рист	ф'игу́р'ист
фигу́рка	ф'игу́рка
фигу́рно	ф'игу́рна
фигура́льно	ф'игура́л'на
фигура́нт	ф'игура́нт
фигура́нтка	ф'игура́нтка
фигури́ровать	ф'игур'и́рават'
фигури́ст	ф'игур'и́ст
фигури́стка	ф'игур'и́стка
физи́ческий	ф'из'и́ч'иск'иj
физио́лог	ф'из'ио́лак
физиоло́гия	ф'из'иало́г'ии
физиологи́ческий	ф'из'иалаг'и́ч'иск'иj
физионо́мия	ф'из'иано́м'ии
физкульту́ра	ф'искул'ту́ра
физру́к	ф'изру́к
фикса́тор	ф'икса́тар
фикса́ция	ф'икса́цыи
фикси́рование	ф'икс'и́раван'ии
фикси́ровать	ф'икс'и́рават'
фикси́роваться	ф'икс'и́раваца
фикти́вно	ф'икт'и́вна
фикти́вный	ф'икт'и́вныj
филантро́п	ф'илантро́п
филантро́пия	ф'илантро́п'ии
филармо́ния	ф'илармо́н'ии
филе́	ф'ил'э́
филиа́л	ф'ил'иа́л
фило́лог	ф'ило́лак
фило́соф	ф'ило́саф
филосо́фия	ф'иласо́ф'ии
филосо́фский	ф'иласо́фск'иj
фильтра́ция	ф'ил'тра́цыи
фильтрова́ть	ф'ил'трава́т'
фина́л	ф'ина́л
фина́льный	ф'ина́л'ныj
фина́нсово	ф'ина́нсава
фина́нсовый ме́неджмент	ф'ина́нсавыj м'э́ныджм'инт
фина́нсы	ф'ина́нсы
финали́ст	ф'инал'и́ст
финанси́рование	ф'инан'с'и́раван'ии
финанси́ровать	ф'инан'с'и́рават'
финанси́ст	ф'инан'с'и́ст
финиши́ровать	ф'ин'ишы́рават'
фиоле́товый	ф'иал'э́тавыj
фиска́льный	ф'иска́л'ныj
фити́ль	ф'ит'и́л'
фитопланкто́н	ф'итапланкто́н
фла́г	фла́к
фла́гман	фла́гман
фла́гманский	фла́гманск'иj
фла́нг	фла́нк
фла́нец	фла́н'иц
флагшто́к	флакшто́к
флажо́к	флажо́к
флако́н	флако́н
флами́нго	флам'и́нга
фле́йта	фл'э́jта
фли́нт	фл'и́нт
фли́рт	фл'и́рт
флиртова́ть	фл'иртава́т'
фло́ра	фло́ра
фло́т	фло́т
флома́стер	флама́с'т'ир
флоти́лия	флат'и́л'ии
флуоресце́нция	флуар'исцэ́нцыи
флю́гер	фл'у́г'ир
флю́с	фл'у́с
флю́са	фл'у́са
флюи́д	фл'уи́т
фо̀рс-мажо́р	фо̀рс-мажо́р
фо̀тоальбо́м	фо̀таал'бо́м
фо̀тоаппара́т	фо̀тааппара́т
фо̀тоаппарату́ра	фо̀таапарату́ра
фо̀тоателье́	фо̀таатыл'jэ́
фо̀товы́ставка	фо̀тавы́стафка
фо̀тока́мера	фо̀така́м'ира
фо̀токо́нкурс	фо̀тако́нкурс
фо̀токорреспонде́нт	фо̀такар'испан'д'э́нт
фо̀томонта́ж	фо̀таманта́ш
фо̀торепорта́ж	фо̀тар'ипарта́ш
фо̀тоси́нтез	фо̀тас'и́н'т'ис
фо̀тосни́мок	фо̀тас'н'и́мак
фо̀тосъё́мка	фо̀тасjо́мка
фо̀тоэлектри́ческий	фо̀таыл'иктр'и́ч'иск'иj
фо̀тоэлеме́нт	фо̀таыл'им'э́нт
фо̀тоэффе́кт	фо̀таыфф'э́кт
фо́бия	фо́б'ии
фо́гт	фо́кт
фо́кус	фо́кус
фо́кусник	фо́кус'н'ик
фо́л	фо́л
фо́лио	фо́л'ио
фо́льга	фо́л'га
фо́н	фо́н
фо́нд	фо́нт
фо́ндовый	фо́ндавыj
фо́новый	фо́навыj
фо́ра	фо́ра
фо́рвард	фо́рварт
фо́рд	фо́рт
фо́ринт	фо́р'инт
фо́рма	фо́рма
фо́рменный	фо́рм'иныj
фо́рмула	фо́рмула
фо́рс	фо́рс
фо́рт	фо́рт
фо́рточка	фо́ртач'ка
фо́рум	фо́рум
фо́сфор	фо́сфар
фо́т	фо́т
фо́то	фо́та
фоби́я	фаб'и́и
фойе́	фаjэ́
фокстро́т	факстро́т
фокуси́ровать	факус'и́рават'
фокусиро́вка	факус'иро́фка
фолиа́нт	фал'иа́нт
фолли́кул	фал'и́кул
фольга́	фал'га́
фолькло́р	фал'кл'о́р
фоми́н	фам'и́н
фона́рик	фана́р'ик
фона́рный	фана́рныj
фона́рь	фана́р'
фоно́граф	фано́граф
фоногра́мма	фанагра́мма
фоноте́ка	фанат'э́ка
фонта́н	фанта́н
фонта́нчик	фанта́н'ч'ик
фонтани́ровать	фантан'и́рават'
форе́ль	фар'э́л'
форма́льно	фарма́л'на
форма́льность	фарма́л'нас'т'
форма́льный	фарма́л'ныj
форма́т	фарма́т
форма́ция	фарма́цыи
формали́зм	фармал'и́зм
формальдеги́д	фармал'дыг'и́т
формирова́ние	фарм'ирава́н'ии
формирова́ть	фарм'ирава́т'
формирова́ться	фарм'ирава́ца
формо́вка	фармо́фка
формули́рование	фармул'и́раван'ии
формули́ровать	фармул'и́рават'
формулиро́вка	фармул'иро́фка
формуля́р	фармул'а́р
форпо́ст	фарпо́ст
форси́рование	фарс'и́раван'ии
форси́ровать	фарс'и́рават'
форсу́нка	фарсу́нка
фортепиа́но	фарт'ип'иа́на
фортепья́но	фартып'jа́на
форто́в	фарто́ф
форту́на	фарту́на
фото́граф	фато́граф
фото́н	фато́н
фотогени́чный	фатаг'ин'и́ч'ныj
фотогра́фия	фатагра́ф'ии
фотографи́рование	фатаграф'и́раван'ии
фотографи́ровать	фатаграф'и́рават'
фотографи́роваться	фатаграф'и́раваца
фотографи́ческий	фатаграф'и́ч'иск'иj
фра́за	фра́за
фра́кция	фра́кцыи
фра́нк	фра́нк
фра́хт	фра́хт
фрагме́нт	фрагм'э́нт
фрагмента́рно	фрагм'инта́рна
фрагмента́ция	фрагм'инта́цыи
францу́женка	францу́жынка
францу́з	францу́с
францу́зский	францу́сск'иj
фре́за	фр'э́за
фре́зер	фр'э́з'ир
фре́зерный	фр'э́з'ирныj
фре́нч	фр'э́н'ч'
фре́ска	фр'э́ска
фрега́т	фр'ига́т
фреза́	фр'иза́
фрезеро́вка	фр'из'иро́фка
фрезерова́ние	фр'из'ирава́н'ии
фрезерова́ть	фр'из'ирава́т'
фри́	фр'и́
фри́з	фр'и́с
фри́ц	фр'и́ц
фро́нт	фро́нт
фронта́льный	франта́л'ныj
фронтови́к	франтав'и́к
фронтово́й	франтаво́j
фру́кт	фру́кт
фрукто́вый	фрукто́выj
фрукто́за	фрукто́за
фто́р	фто́р
фу́	фу́
фу́кс	фу́кс
фу́нкция	фу́нкцыи
фу́нт	фу́нт
фу́ра	фу́ра
фу́рман	фу́рман
фу́т	фу́т
фу́тер	фу́тыр
фунда́мент	фунда́м'инт
фундамента́льно	фундам'инта́л'на
фундамента́льный	фундам'инта́л'ныj
фунду́к	фунду́к
функциона́льно	функцыана́л'на
функциона́льный	функцыана́л'ныj
функционе́р	функцыан'э́р
функциони́рование	функцыан'и́раван'ии
функциони́ровать	функцыан'и́рават'
фурго́н	фурго́н
фурго́нчик	фурго́н'ч'ик
фуро́р	фуро́р
футбо́л	фудбо́л
футбо́лка	фудбо́лка
футбо́льный	фудбо́л'ныj
футболи́ст	фудбал'и́ст
футля́р	футл'а́р
футури́зм	футур'и́зм
футури́ст	футур'и́ст
футуристи́ческий	футур'ис'т'и́ч'иск'иj
фьо́рд	ф'jо́рт
фю́рер и рейхска́нцлер	ф'у́рыр ы рыjхска́нцл'ир
фюзеля́ж	ф'уз'ил'а́ш
ха̀-ха́	ха̀-ха́
ха́	ха́
ха́дж	ха́тш
ха́джи	ха́джы
ха́ки	ха́к'и
ха́ла	ха́ла
ха́м	ха́м
ха́мство	ха́мства
ха́н	ха́н
ха́нжество	ха́нжыства
ха́ос	ха́ос
ха́риус	ха́р'иус
ха́ртия	ха́рт'ии
ха́та	ха́та
хаджи́	хаджы́
хала́т	хала́т
хала́тно	хала́тна
хала́тность	хала́тнас'т'
халде́й	халд'э́j
халифа́т	хал'ифа́т
халту́ра	халту́ра
халту́рить	халту́р'ит'
хамелео́н	хам'ил'ио́н
хами́тов	хам'и́таф
хами́ть	хам'и́т'
хамова́тый	хамава́тыj
ханжество́	ханжыство́
хао́с	хао́с
хаоти́ческий	хаат'и́ч'иск'иj
хаоти́чно	хаат'и́ч'на
хаоти́чность	хаат'и́ч'нас'т'
хаоти́чный	хаат'и́ч'ныj
хара́ктер	хара́кт'ир
хара́ктерный	хара́кт'ирныj
хараки́ри	харак'и́р'и
характе́рный	характ'э́рныj
характери́стика	характ'ир'и́с'т'ика
характеризова́ть	характ'ир'изава́т'
характеризова́ться	характ'ир'изава́ца
характеристи́ческий	характ'ир'ис'т'и́ч'иск'иj
харчо́	харч'о́
хва́стать	хва́стат'
хва́статься	хва́стаца
хва́т	хва́т
хва́тка	хва́тка
хвала́	хвала́
хвале́бный	хвал'э́бныj
хвали́ть	хвал'и́т'
хвали́ться	хвал'и́ца
хвастовство́	хвастафство́
хвата́ть	хвата́т'
хвата́ться	хвата́ца
хвати́ть	хват'и́т'
хватка́	хватка́
хво́рост	хво́раст
хво́ст	хво́ст
хво́стик	хво́с'т'ик
хворости́на	хварас'т'и́на
хвоста́тый	хваста́тыj
хвостови́к	хвастав'и́к
хвостово́й	хваставо́j
хѐ-хе́	х'э̀-х'э́
хе́р	х'э́р
хѝмиотерапи́я	х'ѝм'иат'ирап'и́и
хи́	х'и́
хи́джра	х'и́джра
хи́жина	х'и́жына
хи́мик	х'и́м'ик
хи́мия высо́ких эне́ргий	х'и́м'ии высо́к'их ынэ́рг'иj
хи́нди	х'и́н'д'и
хи́ппи	х'и́п'и
хи́тро	х'и́тра
хи́трость	х'и́трас'т'
хи́трый	х'и́трыj
хи́щник	х'и́ш':н'ик
