App ID,Title,Reviews Total,Reviews Score Fancy,Release Date,Launch Price,Tags,Steam Page
1222670,The Sims™ 4,106397,87%,2014-09-02,"$39,99","Free to Play, Life Sim, Character Customization, Building, Sandbox, Romance, Singleplayer, Immersive Sim, Simulation, Dating Sim, Cute, Relaxing, Casual, Funny, Realistic, Family Friendly, Adventure, Cartoony, Multiplayer, Fantasy",https://store.steampowered.com/app/1222670
1057090,Ori and the Will of the Wisps,106278,96%,2020-03-10,"$29,99","Beautiful, Metroidvania, Great Soundtrack, Platformer, Action, Singleplayer, Adventure, Atmospheric, Story Rich, Exploration, Cute, Action Adventure, Puzzle, Emotional, Indie, Difficult, 2D, Fantasy, Open World, Souls like",https://store.steampowered.com/app/1057090
240,Counter-Strike: Source,105415,96%,2004-11-01,"$9,99","Shooter, Action, FPS, Multiplayer, Team Based, First Person, Tactical, Competitive, PvP, eSports, Military, War, Strategy, Moddable, Singleplayer, Difficult, Atmospheric, Survival, Simulation, Sandbox",https://store.steampowered.com/app/240
270880,American Truck Simulator,105309,96%,2016-02-02,"$19,99","Automobile Sim, Driving, Open World, Transportation, Simulation, America, Realistic, Moddable, Relaxing, Exploration, Economy, Atmospheric, Management, Immersive Sim, Multiplayer, Singleplayer, Adventure, Casual, Family Friendly, Level Editor",https://store.steampowered.com/app/270880
393380,Squad,103913,88%,2020-09-23,"$49,99","Military, Realistic, FPS, Multiplayer, Team Based, Tactical, Shooter, War, First Person, Action, Massively Multiplayer, Strategy, Modern, Base Building, Simulation, Wargame, Open World, Immersive Sim, Atmospheric, PvP",https://store.steampowered.com/app/393380
508440,Totally Accurate Battle Simulator,102100,98%,2021-04-01,"$19,99","Sandbox, Simulation, Funny, Physics, Singleplayer, War, Indie, Adventure, Strategy, Realistic, Colorful, Fantasy, 3D, Comedy, Action, Historical, Family Friendly, Cute, Wargame, Memes",https://store.steampowered.com/app/508440
3590,Plants vs. Zombies GOTY Edition,98467,97%,2009-05-05,"$9,99","Tower Defense, Zombies, Strategy, Singleplayer, Casual, Comedy, 2D, Classic, Great Soundtrack, Family Friendly, Funny, Puzzle, Addictive, Cute, Survival, Indie, Tactical, Touch Friendly, Adventure, Post apocalyptic",https://store.steampowered.com/app/3590
433340,Slime Rancher,96765,97%,2017-08-01,"$19,99","Cute, Exploration, Adventure, Singleplayer, Open World, First Person, Colorful, Funny, Sandbox, Simulation, Casual, Management, Fantasy, Indie, Family Friendly, Great Soundtrack, Female Protagonist, Early Access, Action, FPS",https://store.steampowered.com/app/433340
457140,Oxygen Not Included,96444,96%,2019-07-30,"$24,99","Colony Sim, Base Building, Survival, Resource Management, Building, Singleplayer, Management, Simulation, 2D, Sandbox, Strategy, Space, Indie, Sci fi, Exploration, Difficult, Open World, Adventure, Multiplayer, Space Sim",https://store.steampowered.com/app/457140
391220,Rise of the Tomb Raider™,95637,94%,2016-02-09,"$59,99","Adventure, Action, Female Protagonist, Singleplayer, Third Person, Exploration, Open World, Action Adventure, Story Rich, Survival, Puzzle, Stealth, Atmospheric, Third Person Shooter, Parkour, Shooter, RPG, Multiplayer, Great Soundtrack, Quick Time Events",https://store.steampowered.com/app/391220
